buttonText,func,name,group,group_order,calc_group,button_text_order,pos_x,pos_y
0,0,zero,integer digit,1,standard,0,0,0
1,1,one,integer digit,1,standard,0,0,0
2,2,two,integer digit,1,standard,0,0,0
3,3,three,integer digit,1,standard,0,0,0
4,4,four,integer digit,1,standard,0,0,0
5,5,five,integer digit,1,standard,0,0,0
6,6,six,integer digit,1,standard,0,0,0
7,7,seven,integer digit,1,standard,0,0,0
8,8,eight,integer digit,1,standard,0,0,0
9,9,nine,integer digit,1,standard,0,0,0
(,(,open bracket,integer digit,1,standard,0,0,0
),),close bracket,integer digit,1,standard,0,0,0
.,.,decimal point,integer digit,1,standard,0,0,0
M-,num1,memory store + num1,memory,2,standard,0,0,0
M+,num1,memory store - num1,memory,2,standard,0,0,0
MC,num1,clear memory store,memory,2,standard,0,0,0
MR,num1,memory recall,memory,2,standard,0,0,0
MS,num1,memory store,memory,2,standard,0,0,0
<--,<--,backspace,clear display,3,standard,0,0,0
C,C,clear everything,clear display,3,standard,0,0,0
CE,CE,clear display entry,clear display,3,standard,0,0,0
-,num1-num2,subtraction,operator,4,standard,0,0,0
%,num1/100,percentage,operator,4,standard,0,0,0
*,num1*num2,multiplication,operator,4,standard,0,0,0
/,num1/num2,division,operator,4,standard,0,0,0
+,num1+num2,addition,operator,4,standard,0,0,0
+-,num1*-1,negation,operator,4,standard,0,0,0
=,=,equal,operator,4,standard,0,0,0
1 /X,1/num1,inverse,operator,4,standard,0,0,0
10^X,10**num1,ten to the power of num1,operator,4,standard,0,0,0
X^(1/3),num1**(1/3),cube root of num1,operator,4,standard,0,0,0
SQRT,num**(1/2),square root of num1,operator,4,standard,0,0,0
cos,cos(num1),cosine of num1,scientific,5,scientific,0,0,0
cosh,cosh(num1),hyperbolic cosine of num1,scientific,5,scientific,0,0,0
Exp,exp(num1),raise e to the power of num1,scientific,5,scientific,0,0,0
Inv,1/num1,inverse,scientific,5,scientific,0,0,0
ln,blank,natural log,scientific,5,scientific,0,0,0
log,blank,log,scientific,5,scientific,0,0,0
Mod,num1%num2,return the remainder,scientific,5,scientific,0,0,0
n!,factorial(num1),factorial,scientific,5,scientific,0,0,0
sin,sin(num1),sine of num1,scientific,5,scientific,0,0,0
sinh,sinh(num1),hyperbolic sine of num1,scientific,5,scientific,0,0,0
tan,tan(num1),tangent of num1,scientific,5,scientific,0,0,0
tanh,tanh(num1),hyperbolic tangent of num1,scientific,5,scientific,0,0,0
X^Y,num1**num2,raise num1 to the power of num2,scientific,5,scientific,0,0,0
X^2,num1**2,square of num1 or raise num1 to the power of 2,scientific,5,scientific,0,0,0
X^3,num1**3,raise num1 to the power of 3,scientific,5,scientific,0,0,0
X^(1/Y),num1**(1/num2),num1 in the root of num2,scientific,5,scientific,0,0,0
pii,22/7,return pii,scientific,5,scientific,0,0,0
Deg,blank,Degrees,shift func_,6,scientific,0,0,0
Grad,blank,Gradients,shift func_,6,scientific,0,0,0
Rad,blank,Radians,shift func_,6,scientific,0,0,0
dms,blank,pending,pending,7,scientific,0,0,0
F-E,blank,pending,pending,7,scientific,0,0,0
Int,blank,pending,pending,7,scientific,0,0,0
